port,nets,cells,combcell,seqcell,macros,bufinv,refs,combarea,bufinvarea,noncombarea,macroarea,interconnectarea,totalcellarea,totalarea,slack,coreutil,rows,corew,coreh,aspectratio,cellnotonrow,nfcellnotonrow,celloverlap,nfcelloverlap,cellblock,nfcellblock,orientviolate,nforientviolate,siteviolate,nfsiteviolate,powerstrapviolate,nfpowerstrapviolate,twirelen,m1wl,m2wl,m3wl,m4wl,m5wl,m6wl,m7wl,m8wl,m9wl,mrdlwl,via12,via23,via34,via45,via56,via67,via78,via89,via9r,plangrp,volarea,routelayer,xglobalgrid,yglobalgrid,inst,sigclknets,netports,avgport,gcells,avgvart,peakvart,avghor,peakhor,twl,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,conts,v1,v2,v3,v4,v5,v6,v7,v8,v9,clkperiod,lvls,sinks,ctbuff,ctsaddgates,pregates,prebuf,clockcells,ctbuffarea,ctcellarea,mgskew,maxtranvio,maxcapvio,maxfanvio,cgskew,lpdelay,spdelay,cplen,cpslack,cpclkper,tns,viopath,whv,thv,holdvio,drc,routevio
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.8029999999999999,234,785.232,391.24800000000005,0.498,0,0,0,0,0,0,0,0,0,0,0,0,2054731.21,29721.62,773194.28,516126.72,297967.65,253938.95,64637.16,96598.43,6414.4,16131.99,0.0,372436,213650,62642,45446,13458,10458,1730,1500,0,0,0,10,236,119,99680,101232,371198,3.67,277300,42.53,100.0,63.27,125.0,2088030.39,9318.01,717675.69,512864.68,327320.27,254190.31,93695.17,106278.49,18060.52,48380.01,247.24,838798,365759,295967,77573,59719,18164,15448,3178,2986,4,0.7,8,6000,91,0,0,0,91,730.91748,730.91748,0.018009999999999998,0,2,0,0.018000000000000002,0.113,0.095,0.67,0.31,1.0,0.0,0.0,0.0,0.0,0.0,137,20
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.902,221,740.24,369.51199999999994,0.499,0,0,0,0,0,0,0,0,0,0,0,0,1985936.7,37871.56,708099.3,471682.37,303553.12,241351.76,88573.44,101180.62,10614.46,23010.06,0.0,372578,207109,67108,48148,16821,11968,2630,2140,0,0,0,10,223,112,99294,100846,370426,3.67,246420,49.66,105.26,71.8,133.33,2081761.04,5325.13,706027.93,468219.11,334623.91,245438.22,124925.65,108574.81,33733.01,54537.06,356.2,853913,362690,291151,84106,65266,22993,18820,4779,4098,10,0.8,6,6000,78,0,0,0,78,630.27667,630.27667,0.01951,0,2,0,0.02,0.099,0.08,0.69,0.28,1.0,0.0,0.0,0.0,0.0,0.0,1354,62
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,1.0,210,702.24,351.12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1907828.15,45342.59,651568.44,436153.28,298010.44,225176.83,103069.38,102783.16,14886.58,30747.17,90.29,373265,202526,69295,49888,19156,13308,3630,2943,4,0,0,10,212,107,99119,100671,370076,3.68,223660,55.82,113.64,79.15,137.5,2041559.64,2134.98,693276.71,441787.89,334482.78,232618.07,134614.95,106438.21,40436.97,54110.46,1658.62,862565,360559,286898,89015,68577,25920,20855,5856,4841,44,0.9,6,6000,73,0,0,0,73,604.86224,604.86224,0.01728,0,4,0,0.017,0.109,0.092,0.82,0.16,1.0,0.0,0.0,0.0,0.0,0.0,2134,1379
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.6,271,906.68,453.11199999999997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2266122.1,21206.13,978710.37,661122.18,238716.3,264352.02,23521.09,73434.54,1361.01,3698.46,0.0,375443,233103,46780,36891,7067,6279,436,358,0,0,0,10,273,137,101665,103217,375174,3.63,369920,31.43,94.44,44.63,112.5,2239612.77,21736.22,842193.8,657119.76,309045.37,268768.01,31080.37,87181.93,4098.71,18388.61,0.0,799900,375994,307221,57547,44028,7187,6783,598,542,0,1.0,7,6000,104,0,0,0,104,801.31525,801.31525,0.019459999999999998,0,0,0,0.019,0.11900000000000001,0.1,0.64,0.34,1.0,0.0,0.0,0.0,0.0,0.0,19,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.7,251,839.4960000000001,419.67199999999997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2162377.99,23473.51,860848.05,583955.73,276756.74,270020.7,40459.97,92190.74,3209.33,11463.23,0.0,374857,223591,56313,42147,10559,8998,1151,999,0,0,0,10,253,127,101148,102700,374134,3.64,317520,36.46,95.45,54.68,125.0,2154456.63,14859.18,759968.68,576622.4,314172.3,267432.85,63474.64,106139.72,10437.61,41349.26,0.0,826362,371407,302998,69194,53596,13206,12149,1950,1862,0,0.6,6,6000,103,0,0,0,103,781.2377299999999,781.2377299999999,0.02069,0,3,0,0.021,0.107,0.087,0.66,0.32,1.0,0.0,0.0,0.0,0.0,0.0,58,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.8029999999999999,234,785.232,391.24800000000005,0.498,0,0,0,0,0,0,0,0,0,0,0,0,2054731.21,29721.62,773194.28,516126.72,297967.65,253938.95,64637.16,96598.43,6414.4,16131.99,0.0,372436,213650,62642,45446,13458,10458,1730,1500,0,0,0,10,236,119,99680,101232,371198,3.67,277300,42.53,100.0,63.27,125.0,2088030.39,9318.01,717675.69,512864.68,327320.27,254190.31,93695.17,106278.49,18060.52,48380.01,247.24,838798,365759,295967,77573,59719,18164,15448,3178,2986,4,0.7,8,6000,91,0,0,0,91,730.91748,730.91748,0.01799,0,2,0,0.018000000000000002,0.113,0.095,0.65,0.33,1.0,0.0,0.0,0.0,0.0,0.0,79,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.902,221,740.24,369.51199999999994,0.499,0,0,0,0,0,0,0,0,0,0,0,0,1985936.7,37871.56,708099.3,471682.37,303553.12,241351.76,88573.44,101180.62,10614.46,23010.06,0.0,372578,207109,67108,48148,16821,11968,2630,2140,0,0,0,10,223,112,99294,100846,370426,3.67,246420,49.66,105.26,71.8,133.33,2081761.04,5325.13,706027.93,468219.11,334623.91,245438.22,124925.65,108574.81,33733.01,54537.06,356.2,853913,362690,291151,84106,65266,22993,18820,4779,4098,10,0.8,6,6000,78,0,0,0,78,630.27667,630.27667,0.0195,0,2,0,0.02,0.099,0.08,0.64,0.33,1.0,0.0,0.0,0.0,0.0,0.0,707,16
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,1.0,210,702.24,351.12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1907828.15,45342.59,651568.44,436153.28,298010.44,225176.83,103069.38,102783.16,14886.58,30747.17,90.29,373265,202526,69295,49888,19156,13308,3630,2943,4,0,0,10,212,107,99119,100671,370076,3.68,223660,55.82,113.64,79.15,137.5,2041559.64,2134.98,693276.7,441787.89,334482.78,232618.07,134614.95,106438.21,40436.97,54110.46,1658.62,862565,360559,286898,89015,68577,25920,20855,5856,4841,44,0.9,6,6000,73,0,0,0,73,604.86224,604.86224,0.0171,0,4,0,0.017,0.109,0.091,0.78,0.19,1.0,0.0,0.0,0.0,0.0,0.0,1411,93
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.6,271,906.68,453.11199999999997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2266122.1,21206.13,978710.37,661122.18,238716.3,264352.02,23521.09,73434.54,1361.01,3698.46,0.0,375443,233103,46780,36891,7067,6279,436,358,0,0,0,10,273,137,101665,103217,375174,3.63,369920,31.43,94.44,44.63,112.5,2239612.77,21736.22,842193.8,657119.76,309045.37,268768.01,31080.37,87181.93,4098.71,18388.61,0.0,799900,375994,307221,57547,44028,7187,6783,598,542,0,1.0,7,6000,104,0,0,0,104,801.31525,801.31525,0.01959,0,0,0,0.02,0.11900000000000001,0.1,0.63,0.34,1.0,0.0,0.0,0.0,0.0,0.0,18,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.7,251,839.4960000000001,419.67199999999997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2162377.99,23473.51,860848.05,583955.73,276756.74,270020.7,40459.97,92190.74,3209.33,11463.23,0.0,374857,223591,56313,42147,10559,8998,1151,999,0,0,0,10,253,127,101148,102700,374134,3.64,317520,36.46,95.45,54.68,125.0,2154456.63,14859.18,759968.68,576622.4,314172.3,267432.85,63474.64,106139.72,10437.6,41349.26,0.0,826362,371407,302998,69194,53596,13206,12149,1950,1862,0,0.6,6,6000,103,0,0,0,103,781.2377299999999,781.2377299999999,0.02062,0,3,0,0.021,0.107,0.087,0.66,0.32,1.0,0.0,0.0,0.0,0.0,0.0,39,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.8029999999999999,234,785.232,391.24800000000005,0.498,0,0,0,0,0,0,0,0,0,0,0,0,2054731.21,29721.62,773194.28,516126.72,297967.65,253938.95,64637.16,96598.43,6414.4,16131.99,0.0,372436,213650,62642,45446,13458,10458,1730,1500,0,0,0,10,236,119,99680,101232,371198,3.67,277300,42.53,100.0,63.27,125.0,2088030.39,9318.01,717675.69,512864.68,327320.27,254190.31,93695.17,106278.49,18060.52,48380.01,247.24,838798,365759,295967,77573,59719,18164,15448,3178,2986,4,0.7,8,6000,91,0,0,0,91,730.91748,730.91748,0.018,0,2,0,0.018000000000000002,0.113,0.095,0.65,0.33,1.0,0.0,0.0,0.0,0.0,0.0,86,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.902,221,740.24,369.51199999999994,0.499,0,0,0,0,0,0,0,0,0,0,0,0,1985936.7,37871.56,708099.3,471682.37,303553.12,241351.76,88573.44,101180.62,10614.46,23010.06,0.0,372578,207109,67108,48148,16821,11968,2630,2140,0,0,0,10,223,112,99294,100846,370426,3.67,246420,49.66,105.26,71.8,133.33,2081761.04,5325.13,706027.93,468219.11,334623.91,245438.22,124925.65,108574.81,33733.01,54537.06,356.2,853913,362690,291151,84106,65266,22993,18820,4779,4098,10,0.8,6,6000,78,0,0,0,78,630.27667,630.27667,0.01957,0,2,0,0.02,0.099,0.08,0.64,0.32,1.0,0.0,0.0,0.0,0.0,0.0,617,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,1.0,210,702.24,351.12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1907828.15,45342.59,651568.44,436153.28,298010.44,225176.83,103069.38,102783.16,14886.58,30747.17,90.29,373265,202526,69295,49888,19156,13308,3630,2943,4,0,0,10,212,107,99119,100671,370076,3.68,223660,55.82,113.64,79.15,137.5,2041559.64,2134.98,693276.7,441787.89,334482.78,232618.07,134614.95,106438.21,40436.97,54110.46,1658.62,862565,360559,286898,89015,68577,25920,20855,5856,4841,44,0.9,6,6000,73,0,0,0,73,604.86224,604.86224,0.01703,0,4,0,0.017,0.109,0.092,0.75,0.22,1.0,0.0,0.0,0.0,0.0,0.0,1267,31
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.601,383,641.136,640.376,0.9990000000000001,0,0,0,0,0,0,0,0,0,0,0,0,2301267.31,21102.54,1002240.27,657024.94,244108.05,263870.94,34610.1,71736.17,2681.89,3892.42,0.0,375605,232344,46369,37045,7185,6290,466,385,0,0,0,10,193,193,101756,103308,375350,3.63,368640,32.36,95.45,44.62,116.67,2278446.22,21632.58,867770.51,655718.62,306962.23,270549.05,46773.82,83897.06,7696.96,17445.38,0.0,800965,375957,307194,57564,44452,7502,7048,664,584,0,1.0,7,6000,104,0,0,0,104,785.81256,785.81256,0.0209,0,1,0,0.021,0.124,0.10300000000000001,0.65,0.32,1.0,0.0,0.0,0.0,0.0,0.0,29,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.7,355,593.56,593.56,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2175348.3,21300.67,881272.29,576438.11,291715.06,260298.48,50968.34,82801.7,3751.97,6801.7,0.0,374176,222746,56492,42327,10083,8333,859,712,0,0,0,10,179,179,101085,102637,374008,3.64,316840,37.23,100.0,53.16,125.0,2159258.17,13815.69,775704.68,572099.77,325392.57,264804.0,72693.9,97171.76,11193.8,26045.93,336.07,820561,371060,301986,68578,52438,12416,11148,1545,1386,4,0.6,5,6000,86,0,0,0,86,715.66895,715.66895,0.013569999999999999,0,1,0,0.013999999999999999,0.111,0.09699999999999999,0.67,0.31,1.0,0.0,0.0,0.0,0.0,0.0,63,0
14871,118080,104191,98114,6007,0,17535,23,206629.747074,26753.739321,40038.101133,0.0,66541.264023,246667.848207,313209.11223,-3.97,0.8,332,555.256,555.104,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2076123.39,27631.47,795123.86,503522.19,322241.52,240769.82,82075.82,84973.17,9643.18,10142.35,0.0,371974,214108,62638,45961,13310,9863,1500,1112,0,0,0,10,168,168,99699,101251,371236,3.67,278890,43.66,100.0,60.63,137.5,2092550.66,8902.7,731241.34,504074.42,346298.27,243516.81,105226.0,95662.32,23861.3,32674.23,1093.29,835428,366028,296681,76691,58835,17412,14506,2827,2438,10,0.7,6,6000,80,0,0,0,80,662.80701,662.80701,0.017759999999999998,0,1,0,0.018000000000000002,0.106,0.08800000000000001,0.66,0.33,1.0,0.0,0.0,0.0,0.0,0.0,122,6
